Front,Back
ostrzejsze,harsher [sound:sapi5js-3c8e61d8-8575be68-f2bdb8a9-db5d1b22-199d7180.mp3]
zdecydowałem się,opted [sound:sapi5js-7901aa6b-1fed2cf5-3aa9c51b-0521d571-2ac4ea3e.mp3]
motorower,moped [sound:sapi5js-867a440d-64ffa719-6846bdc4-4de08497-acd8f0c3.mp3]
zatytułowany,entitled [sound:sapi5js-f45092bb-1eb2b552-a70bee09-95424468-7c9b4230.mp3]
"przylega<div><img src=""image-f6ceb22d1fb1526d8ea200116786e2d709201405.jpg""><br></div><div><img src=""image-b02749617e1f8b664cd135731ece38f56fc0827d.jpg""><br></div>",adheres [sound:sapi5js-2c864cb4-8a6daec2-4577f763-32843dc5-511fd437.mp3]
"winowajca<div>Person who is responsible for crime<img src=""image-09bfb82e563aaa5d795dc329aca1b66c85c021ce.jpg""></div>",culprit [sound:sapi5js-b985b4bd-5f0875ad-48884ac0-30327754-0206c280.mp3]
zatkany lub zwężony,obstructed or constricted [sound:sapi5js-5536f94a-7fd505c6-1a7ad0ef-acf0363d-82c16bbf.mp3]
wstawić,insert [sound:sapi5js-f82604fe-4c83b515-4b5c8186-c9a7e7e2-ac06231f.mp3]
szorstko,harsly [sound:sapi5js-b8f01f67-447d9ef0-100d5a42-519aa78c-e3bf6914.mp3]
półki,ledges [sound:sapi5js-b9a01669-92e47cb0-619fe306-fc211082-ff18b0db.mp3]
oczekiwany<div>Await</div><div>To nie participate</div>,anticipated [sound:sapi5js-7c04a3ab-c3ae344f-ee97fdcc-f9fc75ff-0fc9862c.mp3]
czekamy,look forward [sound:sapi5js-20a5a5af-392be492-fea352ff-70849cbc-7838fb05.mp3]
"gruz<div><img src=""image-84325fee4ed772439d6a138d204281629b62febf.jpg""><br></div>",rubble [sound:sapi5js-9e51b822-432f567d-eec36859-3f819ffa-5a55d91a.mp3]
"rozejm<div><img src=""image-b35caef0608e816ae9212e3b26fd0334a7f41b95.jpg""><br></div>",truce [sound:sapi5js-f8988ba5-2df11e44-a99768be-10e9d04f-dce145fa.mp3]<div><br></div>
spłacić to,repay it [sound:sapi5js-579764ff-f4dfab9d-aa435ab6-4ebeb27d-b815ad63.mp3]
błąd,fallacy [sound:sapi5js-4d429458-77f670b7-0e70d193-ddfc188b-4a2a7da7.mp3]
"Zostac dluzej niz zakladano<br><div><img src=""image-d3b684b2f38d41285fef79351305fe9a5bfbc146.jpg""><br></div><div><img src=""image-f71b7cac9a2bf3cced0778a4b3a3eae431af9350.jpg""><br></div>",linger [sound:sapi5js-6f6a0c24-87bae517-610fd170-d3c66019-a5c63d8e.mp3]
unieważnić,revoke [sound:sapi5js-1f463b63-e221d785-91beb536-8bc39da6-2194f33e.mp3]
boczny,lateral [sound:sapi5js-25463f9f-a611b251-c91bc76d-7fe680b8-c161aa46.mp3]
zwłoki,cadaver [sound:sapi5js-9729a377-692b9d93-878ce1f6-dca05f04-e8c56325.mp3]
podolog,podiatrist [sound:sapi5js-5f34fce9-a2291f9e-87fec206-d08c95c8-02d71135.mp3]
skazany,convicted [sound:sapi5js-4f568cc4-b3014fa8-2fc51168-01d442a3-7ca17c8e.mp3]
"ryzykowny<div><img src=""image-2efc2e192b7925efcfa12986d06f3caf455216d3.jpg""><br></div>",chancy [sound:sapi5js-58c4a7a3-0d019247-1ad6b598-f6a99b6c-c62a3b69.mp3]
ta pustka,that void [sound:sapi5js-75142376-531c3dca-ad2406c9-d67091ed-862caace.mp3]
"wycięcie<div><b>Surgical removal</b>, as in the excision of a tumor&nbsp;<img src=""image-e7e5bedee9db83e6dcb0af459fd8efedc9f4450b.jpg""><br></div>",exision [sound:sapi5js-26273b54-7372dcdc-765c188d-ed8c9900-dcce8f4f.mp3]
"bezobjawowy<div><img src=""image-d9b5ad8380bb2d1336ca3bedf4654a57222684f3.jpg""><br></div><div><img src=""image-7216fc1f00fb7321dbb3e81062bfdcc7cb7d5a72.jpg""><br></div>",asymptomatic [sound:sapi5js-294f8c4e-09896ebf-70c2d156-49cc2b86-bcf37ec5.mp3]
"bocznie<div><img src=""image-c36b9143b20a6010685bdfedbf1c5f2931f94223.jpg""><br></div><div><img src=""image-da1299b48d53324a49e267e8d49ad051b2104336.jpg""><br></div>",laterally [sound:sapi5js-0c9b862e-b6b8ee29-280a5d2d-f9fa491b-4904f7f3.mp3]
"sprawił, że oboje się odwróciliśmy",made us both turn [sound:sapi5js-e65420f4-69bc667d-7ac88efa-3d890482-36878290.mp3]
prawdopodobnie,presumably [sound:sapi5js-461ef370-cf108ddb-51fb5253-08bddc28-22fcc595.mp3]
urzędnik gminny,township clerk [sound:sapi5js-5cab6af9-a6300a88-b7ee5aca-ee8cbb37-36cfa3dc.mp3]
parafia,township [sound:sapi5js-907c4d4e-e82802ef-28e7069f-a4751a20-4179fde3.mp3]
figlarnie,playfully [sound:sapi5js-7c91afff-a5176a4a-0f09b059-d7204a5a-fba693cd.mp3]
"staranny<div>W sensie tasks</div><div><img src=""image-8c3439cc4c5eec86383da41d7e17f297ada693b8.jpg""><br></div><div><img src=""image-c45333603e47746fc22bca329d6fb50b6745e66c.jpg""><br></div>",diligent [sound:sapi5js-8898552f-81196106-9a7865aa-9d84f142-336d38e2.mp3]
nie zwrócić,not reimburse [sound:sapi5js-3818951c-e2365f3d-d9f51eff-f578650b-082f94fc.mp3]
tęsknota,longing [sound:sapi5js-08e9049c-7426fc10-ef3b3422-59c4bfb8-7131515a.mp3]
"smoczek<div><img src=""image-f953e79434594e8095e3d4f117dc7e2d3057ee43.jpg""><br></div>",pacifier [sound:sapi5js-133e45b7-3fea8c58-b95a89f0-0812b140-807303da.mp3]
"znormalizowany chód<div><img src=""image-1deba0aeaf47186601654880103f0e4d627c056f.jpg""><br></div>",normalized gait [sound:sapi5js-c138d591-45638bdc-dd6c35ab-95a3360f-f62097f9.mp3]
wracać do poprzvstanu<div>Get back</div>,regain [sound:sapi5js-151b6bc0-1b5417f1-e3e0eab0-64c21001-b25917fb.mp3]
są odżywione,are nourished [sound:sapi5js-6bb383a9-da535b94-abe474ab-bebf9c46-2b7024de.mp3]
zwolnienie wojskowe,military discharge [sound:sapi5js-51aab9b4-89390678-7fa2a32d-fc43c754-5d2c72c1.mp3]
odniesione obrażenia,sustained injuries [sound:sapi5js-0f1a6703-2c312efb-0f11173c-9a2e7226-c2dcbe9f.mp3]
wyróżniać się,stand out [sound:sapi5js-e2dfeff1-8afab9a0-cd5b2d75-c39a57d7-c4664a0a.mp3]
wycofanie się,retreating [sound:sapi5js-f803e407-e0dbed96-392d1ee8-8668e21a-614d0332.mp3]
Zmagania sportowe,athletic endeavors [sound:sapi5js-cb0f51cd-804643cc-f184fc70-cec8a7d9-8a349b72.mp3]
kontralateralny,contralateral [sound:sapi5js-229c6dd0-32bf8551-873185bd-4967b544-3800dd9c.mp3]
trwały<br>several years of sustained economic growth,"sustained [sound:sapi5js-b4f799f2-eff1bd59-3b66e3e8-4352aad7-dffcbd72.mp3]<div><img src=""image-3511beeaecf6c0c0bc900408e24c1f1fd616af2a.jpg""><br></div>"
"rozdarty<div>Bad w<br><div><img src=""image-25eb0ef4d98eb5ef5c426fca3908b3e71c133ef2.jpg""><img src=""image-7f5138cb3be5e2f8b8e9039fee334848f10e2290.jpg""></div><div><span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);""><br></span><div><img src=""image-d710c2e8719d2f2b80cd18e386eaa8c78ff928bd.jpg""><br></div></div></div>",riven [sound:sapi5js-d0dc804e-4444735e-fed329e9-a9ea7649-88fb24e3.mp3]
"Na oślep<div><img src=""image-b47629e08c0bd1417487812e2a8df89c763d083b.jpg""><br></div>",headlong [sound:sapi5js-a6f757dd-bbdf3125-d9c52669-4a31dcf8-0f881550.mp3]
"wzmocnić<div><img src=""image-a4aa9fe9c3ae8e8e5d63f6d71674d355cf2db177.jpg""><br></div><div>I taki walek do lozka</div>",bolster [sound:sapi5js-f44b5fb6-38b8ea46-9dc20936-c31bb6a3-876b75dd.mp3]
"rozluźnienie<div><img src=""image-56f78cf46c6a2a6d56dbe07c6d6e942b923e5a02.jpg""><br></div>",laxity [sound:sapi5js-bbbb8b77-962ee261-f3552d7a-868e5710-9446d5d2.mp3]
włączenie,incorporation [sound:sapi5js-479f5d63-afc988fa-49001710-8cc704fc-7c63cd6d.mp3]
"nacięcie<div><img src=""image-e5d1fad59fcffb317e2d888b90c39b52610abebf.jpg""><br></div>",incision [sound:sapi5js-625e8fb0-d9867962-ddac6998-e4076439-6b9fc7a2.mp3]
wieczny,eternal [sound:sapi5js-22e2b5a5-1295fa5a-b6ce83dd-32a23c66-e4c18746.mp3]
wykorzystany,utilized [sound:sapi5js-a3781b86-c84d9dfd-f55f38a0-4ca36538-abee0cca.mp3]
nootropowe leki na pamiec i poznanie,nootropic [sound:sapi5js-e2678970-e18abbb5-a544ddd6-7a895754-be5841d5.mp3]
jak układa się rzeczywistość,how does the reality stack up [sound:sapi5js-203af7fa-640a574f-e8687855-68f4ce1c-6d2fa88c.mp3]
zwęża naczynia krwionośne,it constricts the blood vessels [sound:sapi5js-84a308bd-5b84058a-bb3569d1-46d8c7f7-a7960c60.mp3]
"zwężać naczynie krwionośne<div><img src=""image-d9a36151ce927e668b4fa9dbeb37a3f1edc75af5.jpg""><br></div>",it constricts the blood vessels [sound:sapi5js-84a308bd-5b84058a-bb3569d1-46d8c7f7-a7960c60.mp3]
zwężający naczynia krwionośne,vasoconstrictor [sound:sapi5js-67767ce5-bc78c17c-ada6a45a-6df17937-d8b96b38.mp3]
zachowuje,retains [sound:sapi5js-e1099bb2-1f7d6492-22ee9098-3d482f17-6338ee75.mp3]
nadmierny ruch,excessive movement [sound:sapi5js-8f8d02a4-f88824fb-72d4c44c-f2978929-cc6eba16.mp3]
"zamyślać się o<div>Bad thoughts<br><div><img src=""image-d04fcf0821b44219a3d76cfa5cb5b3d054d4d742.jpg""><br></div></div>",dwelling on [sound:sapi5js-bcca333b-8ecac97f-b9d1200d-83151e8e-6f997e06.mp3]
tęsknił,longed [sound:sapi5js-b5184b9e-3ad58cc8-a8206c6c-7c345580-9e326173.mp3]
wypełnić tę pustkę,fill that void [sound:sapi5js-e7926828-da815915-bb6d5aea-be594301-e1724fad.mp3]
konary,boughs [sound:sapi5js-214d4f73-d1255554-7c9decf6-ab6ec785-d872611b.mp3]
zwolnienie,layoff [sound:sapi5js-a78b0803-c00505bf-65856929-d6d9c09f-c7684204.mp3]
"krzepnąć<div><img src=""image-abb122a200d9ce94e75317f7ba0d31f0f832cac7.jpg""><br></div>",solidify [sound:sapi5js-acd61637-446b3a2e-392e3f75-d8c6d662-f31f6877.mp3]
zestalać,solidify [sound:sapi5js-acd61637-446b3a2e-392e3f75-d8c6d662-f31f6877.mp3]
lepszy,merior [sound:sapi5js-e5ded03d-bd9f0a34-42fe6e1e-7efe2c7b-8e7cdbb3.mp3]
przekazać<div>Transfer</div>,handover [sound:sapi5js-e3aee854-627c67cc-b5b851a9-3e67e694-ca636733.mp3]
zagadka,riddle [sound:sapi5js-0ed1e25a-6fe4e224-7c57ebf1-e53fcc9f-134f2f16.mp3]
mikrolutowanie,micro-soldering [sound:sapi5js-d442651d-6ad2ce85-d53b05ec-cceb2b46-a7c334eb.mp3]
"To jest guz<div><img src=""image-2af329547f753983f3899071521ceb77b8906a87.jpg""><br></div>",lump [sound:sapi5js-7ef1deb8-45dc645e-72e10ee2-6cc740b8-e9ccab74.mp3]
bryła,lump [sound:sapi5js-7ef1deb8-45dc645e-72e10ee2-6cc740b8-e9ccab74.mp3]
sflaczałe cycki,deflated boob [sound:sapi5js-8472a9c7-56872c78-0a784e56-bbcf8391-2163776f.mp3]
"uderzony przez krążek<div>Hokey!!!<img src=""image-09f29c66fbc7f6615af4b05da78e7df5082c7f94.jpg""></div>",hit by puck [sound:sapi5js-306f2363-9b1d061d-627873d8-23b426f2-f4a32aef.mp3]
odmowa,rejection [sound:sapi5js-1cc5a44e-11db9e84-a8eeaed4-abc4a8a3-5b7692ce.mp3]
"przeprowadzone<div><img src=""image-0711758cb7175d3c15b26a1982df07650ff3bca6.jpg""><br></div><div><img src=""image-25d7d748a9b6e99a829edf1b61c11edb5c3b0f75.jpg""><br></div>",carried out [sound:sapi5js-639747f7-7dd3a602-a2b32e2f-5ebd7e51-1c5ba23d.mp3]
od łagodnych skręceń,from mild sprains [sound:sapi5js-aa6103d6-5dd86650-f2ff6533-be8162a9-e6e56a66.mp3]
"Zginęło również ponad 120 Palestyńczyków, wielu z nich podczas ataków lub starć z siłami bezpieczeństwa","It has also left over 120 Palestinians dead, many of them while carrying out attacks or during clashes with security forces [sound:sapi5js-21322379-849db9c0-1ea012fd-ab1b13ec-505767d0.mp3]"
"Nagranie z tej sceny ukazywało młodych osadników wymachujących kijami, gdy biegli ulicami i zbliżali się do sklepikarzy",Footage from the scene showed young settlers brandishing clubs as they ran through the streets and approached shopkeepers [sound:sapi5js-92524c4c-80338a6b-fb502615-31c7bb41-70ec1653.mp3]
"sztywny<div><img src=""image-e41213b6edd120137e8698fc69b9549ebf6e7568.jpg""><br></div>",rigid [sound:sapi5js-fa046387-d897466f-8b5d207c-7e697eec-8916ec99.mp3]
"łańcuch kinetyczny<div><img src=""image-64d670002bd7dbe125816b6b3aef5429f590e64d.jpg""><br></div><div><img src=""image-c0e8a3ea0f5f7bc762b5d643fa4b862e26afb6fe.jpg""><br></div><div><img src=""image-d5aef31d574cedb62d526a5a61815b983a2927fc.jpg""><br></div>",kinetic chain [sound:sapi5js-c34ff635-b5949ea5-3b2616d0-79d7c764-70d16943.mp3]
które obciążają staw kolanowy,that strain the knee joint [sound:sapi5js-7ec80ba8-0911ac2e-7dad1416-a7d93f52-3ad98e19.mp3]
"mieszać<div><img src=""image-f89e846df61c95a37c784a297e8e54b683baffaf.jpg""><br></div><div>Mieszac w garnku i w glowie</div>",agitate [sound:sapi5js-3826ace6-62de86a4-44e6c927-814c4084-27c99561.mp3]
efekty zdenerwowania,jittery efects [sound:sapi5js-b826e5f2-6e482faf-cadf45b9-f2dcc038-439e7198.mp3]
"wyrafinowany<div>Pozytywne dobrzveducation</div><div><img src=""image-e56393b49cd11acd4bf86b0fce44163873c2bf49.jpg""><br></div>",sophisticate [sound:sapi5js-f5890e5b-5143ded2-63ff9f2e-d4fe8780-c0a69b7a.mp3]
"nie zagłębiać się<div><img src=""image-b0f24e36240a28516e228174be4e6c3307ba3e83.jpg""><br></div>",not delve [sound:sapi5js-30853735-861e8794-1cca031d-df7607f1-fa075501.mp3]
wziąć odpowiedzialność,to take accountability [sound:sapi5js-40dc9d24-456a7d3b-b45200a7-f56d34b1-eaddf6a4.mp3]
nieprawidłowości,abnormalities [sound:sapi5js-7b4c2522-8cb88493-b6fb2487-6fc98a7a-fa61c4ea.mp3]
nieprawidłowości,irregularities [sound:sapi5js-1a4d9e9c-748503b2-72ff0fbd-3b144be0-7e20e962.mp3]
wrzawa ekstremistów w społeczeństwie żydowskim,uproar of extremists in Jewish society [sound:sapi5js-b046e55f-01a7f029-29e44124-1e88116d-ea42a01b.mp3]
na wskroś,throughout [sound:sapi5js-081b7c7a-595dcfb1-bb31ceb9-407197bb-c008317e.mp3]
definiowanie ataków,defining attacks [sound:sapi5js-d076bbf0-299c2c69-1172cf7b-e2f592fd-f38260be.mp3]
"zapobiegawczo<div><br></div><div><b>before other people can act, especially to prevent them from doing something else</b><br></div>",preemptively [sound:sapi5js-fc554e99-a8f7e0fb-e505919e-1e993205-8008191c.mp3]
udaremnione,thwarted [sound:sapi5js-40d3e9ef-6a0d3d17-46b862aa-af726d2b-877f3fb0.mp3]
szczerość,candor [sound:sapi5js-6ff6bfdb-acb34d92-a3d948f6-e7bad74e-2c5c4c19.mp3]
podsumowanie<div>state again as a <b>summary</b><br></div>,recap [sound:sapi5js-3ba7424f-fe870f01-b43f2bea-5d677070-701eaeb3.mp3]
zwrot kosztów,rembursment [sound:sapi5js-3747e521-f7a3c5bd-62e5be59-53541505-dddfec00.mp3]
powstrzymuje,restrains [sound:sapi5js-6dfb1111-6149298a-d49e28f1-39d2e0e8-04968264.mp3]
cudowny,marvellous [sound:sapi5js-7cb4aa95-1e3e75f1-4613a186-bdae00c0-fa3a85ac.mp3]
subiektywne lub obiektywne wytyczne,subjective or objec- tive guidelines [sound:sapi5js-55ed6033-149cdd60-8726e9c3-1d90bb39-8b3f0f70.mp3]
pozornie oszukany,seemingly duping [sound:sapi5js-e90c9a73-e3df4f36-b5c0dab3-aff2019d-c1842626.mp3]
złapać trochę promieni,catch some rays [sound:sapi5js-0afc557a-e8aac6d5-b1d7fea6-b1e67576-5c7b3899.mp3]
zniechęcające,daunting [sound:sapi5js-6cbdf870-2e13e3dc-7f6f3082-b37c9980-025818c2.mp3]
deprecjonować regard or represent as being of little worth.<div>he never missed an opportunity to disparage his competitors</div>,disparage [sound:sapi5js-a9d3364c-30ce6591-b3a1167a-1aa06152-74358eef.mp3]
"dziewiczy rejs&nbsp;<div><img src=""image-1d76dc08e610d0029c98296610ee55cfe7a66fab.jpg""></div>",maiden voyage [sound:sapi5js-db518764-6f55152d-50b8203d-df21b804-7d08a2b8.mp3]
"środki rozpędzenia zamieszek<div><img src=""image-10dc74224bca3281098beb35ff9f62106032b9ce.jpg""><br></div>",riot dispersal means [sound:sapi5js-bcf141c7-a15b7aae-8822566f-aa3a19d6-5431245a.mp3]
Uderzenie wyprzedzający,preemptive strike [sound:sapi5js-e3b5743e-eec1c126-a26460b8-35cfb746-9b1e4a4c.mp3]
przeciwnik,adversary [sound:sapi5js-ecbec8fd-38d05372-4681ee16-92eb97da-0c6d2442.mp3]
"osiągnięty<div><img src=""image-172334256781001dfdcb31253ab5259cc863b01b.jpg""><br></div>",attained [sound:sapi5js-15106769-295080f7-5e7fb4c9-9a434b97-5eb10fb2.mp3]
"W obu krajach było jaśniejsze niż kryształ dla panów państwowych przetworów bochenków i ryb, że sprawy w ogóle zostały ustalone na zawsze.","In both countries it was clearer than crystal to the lords of the State preserves of loaves and fishes, that things in general were settled for ever. [sound:sapi5js-a4138835-0deb2fc1-665b648b-ca339ef5-c9e3a6a4.mp3]"
uczciwej twarzy,fair face [sound:sapi5js-3725718c-b501a8b0-12d8049a-0b8387de-8d931b01.mp3]
najgłośniejszy,noisiest [sound:sapi5js-212ecaeb-17f80aec-067b1a10-c4fcb1ba-2f09c380.mp3]
wymachując łokciami,flailing elbows [sound:sapi5js-4ff22f75-e9a23861-6ae008b4-13b28ec5-a24a0ddd.mp3]
Zszywki,Staples [sound:sapi5js-f59b1f69-da18c28a-22413866-5cb5fe2c-26df5bc0.mp3]
umiarkowany i energiczny,moderate and vigorous [sound:sapi5js-57885ce1-cc4ef5da-3cff46b6-b9adc0c3-f3dbc310.mp3]
"powoduje zamieszanie<div><img src=""image-7f203dfadebfe91f87cf572a183f2469d9917e8f.jpg""><br></div>",causes a stir [sound:sapi5js-fb1f402e-eaadbaf9-dfe16582-336e12c8-70488615.mp3]
"na dolnym końcu skali cen proszę? Lub, jeśli możesz to powiedzieć bez oszczerstwa, należy tego unikać.","at the lower end of the price scale please? Or, if you can say it without being libellous, one&#x27;s to avoid. [sound:sapi5js-b54949a4-a3f72a00-d3d40dd2-d50a4f58-92603d24.mp3]"
oszczerczy,libellous [sound:sapi5js-97712376-3e3a018e-df01c31d-993bf251-633a4a95.mp3]
niewystarczający,insufficient [sound:sapi5js-e2acc21a-5139ddae-08ae8d3d-6cd0df5b-b81f12ee.mp3]
plan podróży,itinerary [sound:sapi5js-e9c47349-ad6a70c8-b6a0d2b5-0d7214a7-2b955ea2.mp3]
wytrwałość,stamina [sound:sapi5js-c6a095bf-d9cf7557-1151d37e-f1c893fc-dd5950ba.mp3]
nakładanie się,overlapping [sound:sapi5js-27736e6f-a75da0c6-5493154a-800f45c0-c3ec9869.mp3]
pionierski nowatorski,cutting-edge [sound:sapi5js-8c94200d-76df02d1-a1257a85-621c8e4a-07226283.mp3]
procent składany,compound interest [sound:sapi5js-872741d4-589876c0-69697d85-387007a7-6072b6a1.mp3]
invest wisely,invest wisely [sound:sapi5js-148da46b-3a273cfc-79d291a3-0b743d56-2f5c7286.mp3]
na pewno będzie kulawy,bound to be lame [sound:sapi5js-12286d7e-18fb7886-da66e17b-3b0dea87-9d64047f.mp3]
przedłużanie,prolonging [sound:sapi5js-f2a6e1db-59b3386e-f9894962-a09f6b7f-7cd0b5bf.mp3]
ukojenie<div>Peace</div>,serenity [sound:sapi5js-539c23f9-bd1bb464-ce446c76-7a31f482-7f5fca0c.mp3]
"kły na zewnątrz<div><img src=""image-9ca8c8e6571dfd7da85d30f10bc57df6100ce597.jpg""><br></div>",canines out [sound:sapi5js-74d355f3-54ad879c-4f1ecf08-edcc0964-461a390c.mp3]
nałożony,imposed [sound:sapi5js-8ab1640e-a7d75634-78c41d18-171c05f3-f06eab68.mp3]
"susza<div><img src=""image-fbf54fc4a1b48de3452f47b8c429c681b832c3a0.jpg""><br></div>",drought [sound:sapi5js-11867c5c-fafcb923-07dd791e-8b5adbe6-2678e464.mp3]
moja twarz jest opuchnięta,my face is Puffy [sound:sapi5js-f9d11128-32729365-49a486f1-c5f1669a-0a52ec85.mp3]
powitał orzeczenie,hailed the ruling [sound:sapi5js-b039c2bd-b6c4f8f0-01625077-6e8ca301-b72420e8.mp3]
bieg,gear [sound:sapi5js-b56626ad-80354e8d-db656a54-c9f94442-ffbefa9d.mp3]
zdać sprawozdanie,debrief [sound:sapi5js-677a3695-5424c6e9-ea71e88b-d71892db-2c3b8d2c.mp3]
Przerywany,Intermittent [sound:sapi5js-7a8c3feb-29162f9e-a08cc003-336491da-f0afdead.mp3]
wdzięk,grace [sound:sapi5js-617baa54-a5136f2c-3ad5c56d-aa5bf9c4-595308ed.mp3]
"starać się make great efforts to achieve or obtain something<div><div></div></div><div><img src=""image-609002aaf97e5bbce1fce9a1416f408efcd2dd85.jpg""><br></div>",strive [sound:sapi5js-f0436d85-64463152-6f107689-11dbb67c-eca199f2.mp3]
głazy,boulders [sound:sapi5js-1d1fea89-5f11c3ef-2d2c41cd-58cb0411-57c2d79d.mp3]
nieuchronnie,inevitably [sound:sapi5js-2943ff58-bd61fb1e-1a801562-b8152c01-67ccf47a.mp3]
"niejasny<div><img src=""image-19cf65105f6a363acf8b89f30f1a951a25fa0264.jpg""><br></div><div><img src=""image-16f53a678d9a32795ba68b4cffd0a53d0631976d.jpg""><br></div>",obscure [sound:sapi5js-1b673c1d-a6cb26e7-444bbe70-42992bbe-bc6eec4f.mp3]
Rajd,rally [sound:sapi5js-418840dc-040de026-d3f6bc4b-35986744-9afd7cd9.mp3]
"smakować<div><img src=""image-7206d2cffa1a7016a4f9f877b0a9c6a80f7eedf4.jpg""><br></div>",relish [sound:sapi5js-31d97547-1d63b86a-ff36e84d-e2e07264-719a37c2.mp3]
odrobinę bardziej beznamiętny,a touch more impassive [sound:sapi5js-cf935451-e4123b25-11409b35-6275271f-0b1f1d23.mp3]
nagana,rebuke [sound:sapi5js-abf143dc-be903c2a-3e780649-04612bf9-01b765c3.mp3]
"między rybakami, kłusownikami i agentami rządowymi","between fishermen, poachers and government agents [sound:sapi5js-2a235fbf-1d553a04-b7c148d6-babad0d3-bb775fe0.mp3]"
"bunt<img src=""image-98838c56f2133453d8d2eb447865a148f17ed644.jpg""><div><img src=""image-614894a14405fdc1f5223466703d7ab09b5781cd.jpg""><span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);""><br></span><div><br></div></div>",sedition [sound:sapi5js-1ab20012-a98ce3c8-7c260242-5d74966a-014b4792.mp3]
"usterka<div><img src=""image-bfad6bef4dc41789012c1683dcc48d03263a2a8e.jpg""><br></div>",glitch [sound:sapi5js-4a192dbc-8338fd4e-f07f6d8b-f9d29151-0311d5f4.mp3]
wykonalny,feasible [sound:sapi5js-e56ab0b3-f1c178c1-b30d7f28-df7f3273-5f6c68ae.mp3]
zadać,inflict [sound:sapi5js-a53d0890-a9600748-5db44dbb-d345fd52-125efd84.mp3]
wściekłość,rage [sound:sapi5js-72fdb768-86f0fbb0-d86f317b-9ccde449-8090251e.mp3]
Straciłem wściekłość,I lost my rage [sound:sapi5js-4eba6957-100e44b6-33c88389-42d03b3f-5e34201f.mp3]
zdzierać,rip off [sound:sapi5js-c9d887b7-cbecec17-de6b8bb8-82dbaeec-52ab4306.mp3]
paraliżujący niedobór,crippling shortage [sound:sapi5js-842b847b-f555e1ee-78ab2712-05d6f1b2-ebcb7c8d.mp3]
"Ponieważ COVID zaczyna powoli się rozpraszać, praca zaczyna nabierać tempa, a moje gry NIE przyciągają tyle uwagi i nauki. . .więc spodziewam się, że moja ocena spadnie.","With COVID starting to slowly disperse, work is starting to ramp back up and my games are NOT getting as much attention and study. . .so I expect my rating to drop. [sound:sapi5js-4396b7f2-4cd6ea47-9e29aa6b-cff7f147-90f1a2e1.mp3]"
remo,remo [sound:sapi5js-aeceb08a-020f136b-f8ac3b37-a892aa77-3d9ac87a.mp3]
"kto był kapusiem?<div><img src=""image-9499a071d5d9ff284181a53757669d4a6d7d3d3a.jpg""><br></div>",who was snitch [sound:sapi5js-82369164-31a57bc2-fd4bad4f-bca735fc-1f8bf51c.mp3]
chód,gait [sound:sapi5js-d6248884-8fece6e6-753654ac-755af5dc-0c18061a.mp3]
szał,rampage [sound:sapi5js-68bb3119-f1f1180a-1978c69d-6078bd5c-9a608e6b.mp3]
rzucił się do przodu,lunged forward [sound:sapi5js-d165f8ca-9f33dc33-4d9f7e40-48e729a3-f856f3d6.mp3]
morela,apricot [sound:sapi5js-f24e0f73-dc00ca24-a96070f4-0732d098-a07d2d38.mp3]
"suszone śliwki<div><img src=""paste-0af6b9d48a0aac359c00cab99f04e8bd1f2633b7.jpg""><br></div>",prunes [sound:sapi5js-3ba90fe6-3e5452b3-f65c86ca-b1429a00-3382466d.mp3]
Ankieta,Survey [sound:sapi5js-ba82dbd4-9e17cfc3-cc88699b-3eca0b6c-41a26406.mp3]
"napięcie&nbsp;<div>Wytezac try<br><div>Odsedzic</div></div><div>Strain bladder</div><div><img src=""image-a7ae9c8d422cc707ea4551761ac55523df86d822.jpg""><br></div><div><img src=""image-6b94d812bdbb58349bc71f4e544fb66505f9109e.jpg""><br></div>",strain [sound:sapi5js-ecbe4a55-d81c699b-b5822daa-252c3b7e-00646533.mp3]
